"marketingCost","zip"
"1.25","52345"
"2.9","98122"
"3.02","98121"
"2.86","54425"
"2.52","17603"
"2.04","98126"
"2.75","98125"
"2.14","98124"
"4.91","43551"
"0.86","48125"
"12.78","32877"
"2.5","84078"
"2.17","70668"
"18","92412"
"1.76","41224"
"1.6","42127"
"1.89","54143"
"4.57","38367"
"2.14","80833"
"2.48","57642"
"2.39","27235"
"0.96","56369"
"2.19","27231"
"2.38","27233"
"2.9","38665"
"3.72","30914"
"2.54","53508"
"2.13","42123"
"3.49","27239"
"2.12","52169"
"0.98","69034"
"2.82","48475"
"1.64","38878"
"3.76","69030"
"1.18","69033"
"3.85","69032"
"1.58","52162"
"2.47","52165"
"2.64","69038"
"3.67","52166"
"4.7","36360"
"1.61","36362"
"2.62","30919"
"2.38","60073"
"0.92","60070"
"2.48","46057"
"2.73","60076"
"2.16","60077"
"2.34","60074"
"1.92","80163"
"1.01","80160"
"3.81","80161"
"2.41","56263"
"1.03","49657"
"1.8","31416"
"3.18","80504"
"18","93557"
"1.0","84767"
"17.63","93556"
"18","90295"
"3.53","70586"
"3.27","48209"
"1.81","48208"
"18","90291"
"2.7","70582"
"18","90293"
"2.89","70580"
"3.1","48203"
"3.2","48202"
"3.39","48201"
"1.85","52218"
"3.14","48207"
"0.92","48206"
"1.45","48205"
"2.72","48204"
"2.34","49656"
"1.15","83849"
"1.86","66538"
"1.69","74869"
"3.5","83841"
"2.44","83843"
"4.11","83845"
"2.65","83847"
"3.08","38363"
"15.37","96078"
"1.89","42171"
"2.6","42170"
"2.25","63780"
"2.72","63782"
"4.02","63785"
"2.29","53511"
"3.1","97470"
"2.05","53510"
"3.3","97477"
"1.86","97478"
"0.96","97479"
"0.8","12206"
"3.11","67425"
"2.22","62880"
"1.28","70363"
"2.35","96705"
"4.0","36587"
"1.66","70360"
"2.42","38642"
"1.74","36582"
"2.32","49654"
"1.89","96707"
"2.89","70802"
"3.1","38774"
"3.04","96706"
"2.29","98940"
"3.2","70803"
"1.94","53562"
"16.71","93953"
"1.87","53560"
"2.76","29353"
"3.38","53566"
"0.8","38361"
"2.87","29356"
"3.6","53565"
"3.76","37362"
"0.95","37363"
"2.15","52540"
"1.36","37361"
"2.41","37367"
"0.8","37364"
"1.16","37365"
"3.16","56058"
"1.37","98564"
"18","93242"
"2.64","70807"
"1.65","04364"
"2.31","28543"
"18","76804"
"2.17","84715"
"1.67","84714"
"18","78026"
"3.16","84713"
"4.65","84712"
"4.09","47137"
"8.88","33197"
"3.0","67578"
"3.32","67579"
"2.2","67576"
"2.36","67575"
"2.0","67572"
"18","78383"
"0.8","98418"
"2.54","49055"
"2.95","40516"
"1.03","50801"
"0.8","86403"
"1.85","86402"
"3.07","86401"
"3.54","80830"
"2.15","80831"
"3.01","86405"
"3.11","86404"
"1.75","68634"
"2.1","68635"
"2.51","68636"
"3.52","35033"
"1.35","24153"
"2.76","37188"
"0.8","37189"
"1.24","37186"
"1.71","37187"
"0.8","37184"
"2.52","37185"
"2.34","68638"
"0.82","37183"
"3.52","37180"
"2.16","37181"
"1.41","68328"
"2.29","68329"
"18","91610"
"2.79","68322"
"0.8","68323"
"4.59","68320"
"2.38","34038"
"2.22","40203"
"1.82","40202"
"3.66","08330"
"2.11","40207"
"4.0","40206"
"3.64","40205"
"3.11","35611"
"2.25","40209"
"2.17","40208"
"3.74","98944"
"3.09","48006"
"1.67","49788"
"7.23","33955"
"13.13","33954"
"10.22","33957"
"3.13","50595"
"8.24","33951"
"18","33950"
"3.07","33953"
"12.08","33952"
"3.33","30634"
"2.79","84635"
"3.06","63651"
"3.28","52571"
"1.54","49245"
"3.49","28409"
"0.82","63650"
"18","79720"
"2.74","50590"
"18","94973"
"0.8","28403"
"2.22","58553"
"1.4","28401"
"2.18","35617"
"18","94978"
"1.55","28406"
"1.85","28405"
"7.02","34983"
"10.74","34982"
"2.85","30350"
"0.88","06790"
"3.36","30604"
"2.25","30605"
"3.25","30606"
"1.62","30607"
"2.27","30358"
"3.48","30359"
"9.95","34480"
"14.37","95823"
"2.87","31553"
"1.17","62094"
"3.86","54247"
"2.29","31550"
"2.38","31557"
"1.57","31008"
"3.35","35058"
"3.06","31554"
"2.44","31005"
"2.48","35057"
"3.55","35054"
"2.54","35055"
"3.06","31001"
"3.22","35053"
"2.35","31002"
"4.66","66958"
"1.81","55720"
"1.38","63130"
"2.3","89006"
"3.14","89007"
"2.98","66951"
"3.05","89005"
"2.0","89003"
"1.92","28256"
"2.58","89001"
"3.71","55128"
"3.37","55129"
"18","91980"
"8.47","33673"
"2.25","55120"
"1.07","55121"
"1.84","55122"
"3.64","55123"
"1.61","55124"
"2.08","55125"
"2.38","55126"
"1.83","38382"
"18","95903"
"2.18","49240"
"3.49","06804"
"2.57","89533"
"2.21","66044"
"3.61","66047"
"1.96","66046"
"2.17","66041"
"2.94","66040"
"2.75","66043"
"11.87","33851"
"3.11","61875"
"16.63","93613"
"4.15","66049"
"3.78","66048"
"18","78669"
"8.25","34740"
"0.8","49241"
"18","93581"
"1.73","47006"
"0.8","23188"
"1.39","47001"
"3.02","47003"
"16.01","34742"
"0.82","59201"
"3.5","12443"
"2.22","48858"
"1.1","27009"
"1.84","27006"
"1.59","48857"
"1.91","48854"
"9.0","33857"
"3.49","48852"
"0.8","58544"
"3.45","82401"
"1.5","48851"
"2.73","73601"
"18","78662"
"3.85","49242"
"18","78663"
"0.8","75163"
"18","78660"
"2.03","74051"
"0.82","74053"
"3.07","74052"
"2.4","74055"
"4.82","69301"
"0.8","74056"
"0.8","74059"
"3.78","30635"
"2.29","72628"
"2.98","63134"
"2.69","31045"
"2.15","29630"
"3.3","72512"
"1.88","72513"
"2.44","48610"
"9.99","32580"
"11.05","32583"
"3.58","30324"
"2.18","55781"
"2.49","55782"
"3.5","55783"
"4.12","98603"
"0.8","98601"
"5.01","98606"
"1.69","98607"
"2.12","98604"
"3.78","98605"
"3.21","97116"
"1.04","97115"
"3.52","97114"
"3.76","97113"
"4.56","97112"
"1.08","97111"
"2.42","97110"
"3.34","73933"
"1.75","51357"
"1.49","56479"
"1.28","35580"
"0.8","35581"
"4.54","48611"
"0.83","62630"
"0.8","56472"
"2.35","73939"
"2.52","73938"
"2.33","56477"
"0.89","56475"
"1.83","56474"
"10.51","32725"
"12.24","32724"
"9.6","32055"
"9.42","32726"
"8.77","32721"
"2.99","62056"
"15.46","32723"
"11.92","32050"
"3.68","57783"
"2.59","41562"
"2.46","49892"
"14.98","32728"
"2.19","32059"
"2.48","57785"
"1.91","42788"
"3.39","62085"
"2.86","88065"
"0.8","27922"
"2.96","88063"
"9.63","32961"
"3.65","88061"
"3.5","62084"
"18","92393"
"1.45","42784"
"0.8","46347"
"2.29","72928"
"3.6","39145"
"3.7","61049"
"1.36","80809"
"1.46","49895"
"2.77","06375"
"2.55","56057"
"18","95015"
"4.27","64638"
"3.16","62926"
"1.64","27928"
"1.83","64631"
"0.8","64632"
"2.21","64633"
"7.88","90213"
"1.94","62432"
"2.6","69201"
"0.91","63068"
"1.53","63069"
"3.17","49525"
"2.99","27846"
"9.14","33238"
"3.1","85381"
"3.54","62434"
"8.7","34489"
"2.42","85382"
"1.63","63065"
"3.03","65548"
"1.75","52621"
"18","76714"
"2.7","61041"
"2.56","65541"
"2.51","65543"
"1.68","65542"
"13.0","34267"
"18","79103"
"1.32","55310"
"4.86","45401"
"2.08","64490"
"0.82","64491"
"1.92","64492"
"3.78","64493"
"3.52","96322"
"2.77","19066"
"1.54","48615"
"1.57","57255"
"3.18","64853"
"1.48","57252"
"18","77420"
"1.83","99950"
"2.37","46532"
"2.68","58033"
"2.11","46530"
"1.98","58035"
"2.78","46536"
"3.03","46534"
"2.0","27576"
